"","cycle","state","modeldate","candidate_name","startdate","enddate","pollster","samplesize","population","weight","pct","house_adjusted_pct","trend_and_house_adjusted_pct","tracking","poll_id","question_id"
"1",2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44075",44104,"SurveyMonkey",4613,"lv",0.5576418,51.74,50.42497,51.25911,"T",70307,131002
"2",2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44092",44119,"SurveyMonkey",7804,"lv",0.0514985,53,51.68642,51.92569,"T",71193,133328
"3",2020,"Pennsylvania",44138,"Joseph R. Biden Jr.","44105",44132,"SurveyMonkey",2549,"lv",0.4175465,52,50.68518,50.64987,"T",72254,135594
"4",2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44062",44071,"Morning Consult",797,"lv",0.0889819,51,50.89549,52.13099,"T",68454,128140
"5",2020,"Wisconsin",44138,"Joseph R. Biden Jr.","44063",44072,"Morning Consult",797,"lv",0.0865649,51,50.89549,52.12911,"T",68455,128141
"6",2020,"National",44138,"Joseph R. Biden Jr.","44093",44095,"SurveyMonkey",9248,"lv",0.0256242,51.45,50.42111,51.33355,"T",70902,132681
"7",2020,"National",44138,"Joseph R. Biden Jr.","44089",44091,"SurveyMonkey",18003,"lv",0.0497573,53.08,52.0526,53.09402,"T",70898,132677
"8",2020,"National",44138,"Joseph R. Biden Jr.","44090",44092,"SurveyMonkey",16194,"lv",0.0446412,52.46,51.43187,52.44317,"T",70899,132678
"9",2020,"National",44138,"Joseph R. Biden Jr.","44091",44093,"SurveyMonkey",12696,"lv",0.034951,51.32,50.29105,51.27063,"T",70900,132679
"10",2020,"National",44138,"Joseph R. Biden Jr.","44092",44094,"SurveyMonkey",8738,"lv",0.0241282,51.59,50.56118,51.50772,"T",70901,132680
"11",2020,"National",44138,"Joseph R. Biden Jr.","44094",44096,"SurveyMonkey",13675,"lv",0.0379662,52.68,51.65211,52.52618,"T",70903,132682
"12",2020,"National",44138,"Joseph R. Biden Jr.","44096",44098,"SurveyMonkey",22170,"lv",0.0612739,52.37,51.34178,52.13557,"T",70905,132684
"13",2020,"National",44138,"Joseph R. Biden Jr.","44097",44099,"SurveyMonkey",23974,"lv",0.0667864,52.1,51.07154,51.82502,"T",70906,132685
"14",2020,"National",44138,"Joseph R. Biden Jr.","44098",44100,"SurveyMonkey",21047,"lv",0.0595361,51.71,50.68125,51.3933,"T",70907,132686
"15",2020,"National",44138,"Joseph R. Biden Jr.","44099",44101,"SurveyMonkey",15443,"lv",0.0446186,51.74,50.71127,51.3777,"T",70908,132687
"16",2020,"National",44138,"Joseph R. Biden Jr.","44100",44102,"SurveyMonkey",15482,"lv",0.0457482,51.89,50.86137,51.47955,"T",70909,132688
"17",2020,"National",44138,"Joseph R. Biden Jr.","44101",44103,"SurveyMonkey",20951,"lv",0.0633046,51.85,50.82134,51.39215,"T",70910,132689
"18",2020,"National",44138,"Joseph R. Biden Jr.","44102",44104,"SurveyMonkey",24292,"lv",0.0772955,51.78,50.7513,51.1552,"T",70911,132690
"19",2020,"National",44138,"Joseph R. Biden Jr.","44103",44105,"SurveyMonkey",24022,"lv",0.0768573,52.02,50.99147,51.35799,"T",70912,132691
"20",2020,"National",44138,"Joseph R. Biden Jr.","44104",44106,"SurveyMonkey",21170,"lv",0.0639868,51.96,50.93142,51.1632,"T",70913,132692
"21",2020,"National",44138,"Joseph R. Biden Jr.","44105",44107,"SurveyMonkey",17645,"lv",0.0515271,52.04,51.01149,51.21507,"T",70914,132693
"22",2020,"National",44138,"Joseph R. Biden Jr.","44106",44108,"SurveyMonkey",12510,"lv",0.035309,52.33,51.30174,51.47744,"T",70915,132694
"23",2020,"National",44138,"Joseph R. Biden Jr.","44107",44109,"SurveyMonkey",12691,"lv",0.0345475,52.72,51.69215,51.84409,"T",70916,132695
"24",2020,"National",44138,"Joseph R. Biden Jr.","44108",44110,"SurveyMonkey",20168,"lv",0.0532837,53.26,52.23285,52.36133,"T",70917,132696
"25",2020,"National",44138,"Joseph R. Biden Jr.","44109",44111,"SurveyMonkey",30687,"lv",0.0792478,53.28,52.25288,52.35821,"T",70918,132697
"26",2020,"National",44138,"Joseph R. Biden Jr.","44110",44112,"SurveyMonkey",33925,"lv",0.0801546,53.35,52.32298,52.36193,"T",70919,132698
"27",2020,"National",44138,"Joseph R. Biden Jr.","44111",44113,"SurveyMonkey",34460,"lv",0.0786327,52.74,51.71218,51.73128,"T",70920,132699
"28",2020,"National",44138,"Joseph R. Biden Jr.","44112",44114,"SurveyMonkey",25748,"lv",0.0553771,52.36,51.33177,51.31301,"T",70921,132700
"29",2020,"National",44138,"Joseph R. Biden Jr.","44113",44115,"SurveyMonkey",19886,"lv",0.0414933,51.49,50.46113,50.42536,"T",70922,132701
"30",2020,"National",44138,"Joseph R. Biden Jr.","44114",44116,"SurveyMonkey",10971,"lv",0.0222101,51.78,50.7513,50.70082,"T",70923,132702
"32",2020,"National",44138,"Joseph R. Biden Jr.","44088",44090,"SurveyMonkey",18332,"lv",0.0509818,53.26,52.23285,53.30558,"T",70897,132676
"33",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44108",44109,"Public Policy Polling",911,"v",1.22716,50,49.32602,49.42479,"F",70576,131666
"34",2020,"North Carolina",NA,"Joseph R. Biden Jr.","44035",44036,"Public Policy Polling",884,"v",0.6633006,49,47.85161,49.04854,"F",67789,126872
"35",2020,"North Carolina",44138,"Joseph R. Biden Jr.","43968",43977,"Morning Consult",1403,"lv",1.074904,46,45.84879,47.94419,"T",67799,126885
"36",2020,"North Carolina",44138,"Joseph R. Biden Jr.","43934",43937,"GBAO",500,"lv",0.8061572,48,47.87635,49.98863,"F",67053,125282
"37",2020,"North Carolina",44138,"Joseph R. Biden Jr.","43990",44012,"SurveyMonkey",1498,"lv",0.5789885,49.22,47.57825,48.6743,"F",70470,131324
"38",2020,"North Carolina",44138,"Joseph R. Biden Jr.","43996",43999,"Redfield & Wilton Strategies",902,"lv",0.8065658,46,47.11643,48.23368,"F",66905,124932
"39",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44002",44005,"Fox News/Beacon Research/Shaw & Co. Research",1012,"rv",1.557636,47,47.89174,48.94084,"F",66918,124955
"40",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44004",44007,"East Carolina University",1149,"rv",1.077109,45.1,46.05733,47.10093,"F",66953,125022
"41",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44008",44010,"Change Research",468,"lv",0.4795664,51,50.9263,51.97267,"F",66959,125032
"42",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44013",44043,"SurveyMonkey",3466,"lv",0.6403064,48.59,46.94926,48.19425,"F",70419,131222
"43",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44019",44020,"Public Policy Polling",818,"v",0.9859976,50,49.32602,50.51114,"F",67044,125267
"44",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44022",44024,"Change Research",655,"lv",0.6103566,47,46.92645,48.11309,"F",67090,125353
"45",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44024",44028,"Spry Strategies",700,"lv",0.7138253,45.52,47.18867,48.39563,"F",67627,126527
"46",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44025",44027,"Cardinal Point Analytics (CardinalGPS)",547,"lv",0.5816114,47.7,48.31337,49.52461,"F",67586,126453
"47",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44026",44034,"Marist College",882,"rv",1.553549,51,50.58697,51.8398,"F",67669,126680
"48",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44029",44038,"Morning Consult",1504,"lv",1.099591,47,46.84851,48.03346,"T",67691,126755
"49",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44031",44033,"Redfield & Wilton Strategies",919,"lv",0.8124298,43,44.10795,45.30535,"F",67839,126983
"50",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44033",44035,"Zogby Interactive/JZ Analytics",809,"lv",0.9108042,44,45.16585,46.36098,"F",67917,127143
"51",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44034",44036,"Cardinal Point Analytics (CardinalGPS)",735,"lv",0.7352689,46.8,47.41267,48.60242,"F",67834,126975
"52",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44035",44043,"HIT Strategies",400,"rv",0.4186061,47,46.58477,47.74956,"F",67983,127298
"53",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44036",44038,"Change Research",284,"lv",0.3340968,49,48.9263,50.09818,"F",67811,126905
"54",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44036",44045,"Data for Progress",1170,"lv",1.227438,47.5,47.13413,48.28976,"F",67937,127192
"55",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44040",44043,"YouGov",1129,"lv",1.360219,48,47.99105,49.14478,"F",67859,127044
"56",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44042",44043,"Public Policy Polling",934,"v",0.7350445,49,47.85161,48.99701,"F",67985,127305
"57",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44044",44074,"SurveyMonkey",2914,"lv",0.6306757,48,46.36051,47.4614,"F",70369,131120
"58",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44049",44050,"Rasmussen Reports/Pulse Opinion Research",750,"lv",0.8990448,47.26,47.83395,48.9149,"F",67984,127302
"59",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44049",44053,"Harper Polling",600,"lv",0.9784637,45,46.60909,47.6485,"F",68051,127443
"60",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44050",44052,"Change Research",491,"lv",0.5680547,47,46.92645,47.9892,"F",68014,127365
"61",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44050",44059,"Morning Consult",1493,"lv",0.9235623,49,48.84819,49.84546,"T",68284,127905
"62",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44051",44053,"Emerson College",673,"lv",1.209291,49.41,48.91355,49.97494,"F",68006,127353
"63",2020,"North Carolina",44138,"Joseph R. Biden Jr.","44055",44056,"East Carolina University",1255,"rv",1.121653,46.5,47.4599,48.47969,"F",68076,127504
